id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm84618,Taxi Driver,MOVIE,1976,114,"drama, crime",US,8.2,808582.0,40.965,8.179
tm154986,Deliverance,MOVIE,1972,109,"drama, action, thriller, european",US,7.7,107673.0,10.01,7.3
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"fantasy, action, comedy",GB,8.2,534486.0,15.461,7.811
tm120801,The Dirty Dozen,MOVIE,1967,150,"war, action","GB, US",7.7,72662.0,20.398,7.6
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"comedy, european",GB,8.8,73424.0,17.617,8.306
tm70993,Life of Brian,MOVIE,1979,94,comedy,GB,8.0,395024.0,17.77,7.8
tm14873,Dirty Harry,MOVIE,1971,102,"thriller, action, crime",US,7.7,155051.0,12.817,7.5
tm119281,Bonnie and Clyde,MOVIE,1967,110,"crime, drama, action",US,7.7,112048.0,15.687,7.5
tm98978,The Blue Lagoon,MOVIE,1980,104,"romance, action, drama",US,5.8,69844.0,50.324,6.156
tm44204,The Guns of Navarone,MOVIE,1961,158,"action, drama, war","GB, US",7.5,50748.0,13.844,7.3
tm67378,The Professionals,MOVIE,1966,117,"western, action, european",US,7.3,16446.0,13.123,7.1
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"comedy, documentation",US,8.1,5141.0,4.718,7.5
tm16479,White Christmas,MOVIE,1954,115,"romance, comedy",US,7.5,42488.0,8.915,7.2
tm135083,Cairo Station,MOVIE,1958,77,"drama, crime, comedy",EG,7.5,4471.0,5.546,7.3
tm89386,Hitler: A Career,MOVIE,1977,150,"history, documentation, european",DE,7.5,2460.0,4.305,7.3
tm156453,FTA,MOVIE,1972,97,"war, documentation, music, comedy",US,6.2,418.0,1.268,6.1
tm14350,Alexandria… Why?,MOVIE,1979,133,drama,EG,7.2,1727.0,1.37,6.0
tm81728,The Land,MOVIE,1969,129,drama,EG,8.1,1958.0,1.265,8.5
tm94651,Dostana,MOVIE,1980,161,"drama, comedy, crime, romance, action",IN,2.1,25.0,3.98,4.9
