id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_ids,director_ids
tm84618,Taxi Driver,MOVIE,1976,114,"drama, crime",US,8.2,808582.0,40.965,8.179,"32267, 29068, 466061, 17421, 43791, 43279, 43540, 811415, 7064, 3739, 49567, 3748, 48933, 475303, 212023, 519612, 519613, 519614, 519615, 519616, 15551, 14658, 519618, 20935, 7753, 1141852, 20447, 1662310, 9446, 8424, 1393387, 3308, 9451, 5367, 82426, 38141",3308
tm154986,Deliverance,MOVIE,1972,109,"drama, action, thriller, european",US,7.7,107673.0,10.01,7.3,"197405, 100262, 53804, 24509, 24510, 84031, 84032, 618689, 618690, 618691, 618692, 80069, 618688, 618687, 217036, 498130, 11224, 13020, 37993, 7918, 6639, 10103",17727
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"fantasy, action, comedy",GB,8.2,534486.0,15.461,7.811,"8327, 1275018, 1549, 919694, 90024, 156072, 400172, 1462970, 1462971, 1462588, 14908, 1462975, 40898, 40899, 40900, 40901, 40902, 40903, 1462978, 889417, 1462986, 703435, 84047, 1462991, 11472, 11473, 11474, 11475, 11476, 1462993, 11478, 1462994, 1462995, 11481, 11482, 1462623, 11490, 1463011, 1463016, 1463018, 1463021, 976111, 589811, 1464056, 1671807","11473, 11475"
tm120801,The Dirty Dozen,MOVIE,1967,150,"war, action","GB, US",7.7,72662.0,20.398,7.6,"35200, 35201, 35202, 35203, 35204, 21244, 35206, 35207, 35208, 35209, 35210, 35211, 35212, 548877, 35213, 14351, 35214, 35215, 35216, 35217, 35218, 35219, 4500, 35220, 35222, 35223, 1050, 35224, 35225, 35226, 35227, 744350, 1061, 1062, 11181, 2095, 2105, 24126, 31806, 361026, 21838, 16868, 1765, 21482, 8044, 32622, 15345, 10097, 29814, 22266, 35196, 35197, 35198, 35199",1063
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"comedy, european",GB,8.8,73424.0,17.617,8.306,"11472, 11473, 11474, 11475, 11476",
tm70993,Life of Brian,MOVIE,1979,94,comedy,GB,8.0,395024.0,17.77,7.8,"1549, 73106, 548006, 11472, 11473, 11474, 11475, 11476, 11477, 11478, 11479, 11480, 11481, 11482, 11483, 11484, 11485, 11486, 11487, 11488, 11489",11475
tm14873,Dirty Harry,MOVIE,1971,102,"thriller, action, crime",US,7.7,155051.0,12.817,7.5,"37760, 28418, 74499, 28420, 19846, 1254791, 24203, 28171, 56405, 357644, 1254778, 28432, 29725, 58911, 642080, 27040, 6050, 63141, 1255589, 29225, 63147, 44085, 1254838, 1255103, 6848, 29250, 1255106, 29253, 15562, 1255122, 83026, 83027, 83028, 7250, 83029, 83030, 83031, 83032, 83033, 83034, 83035, 83036, 83037, 83038, 83039, 83040, 83041, 83042, 83043, 83044, 83045, 83046, 83047, 24045, 58618, 1254876, 11774",56405
tm119281,Bonnie and Clyde,MOVIE,1967,110,"crime, drama, action",US,7.7,112048.0,15.687,7.5,"20837, 18249, 22346, 22347, 22345, 22348, 22349, 22351, 22352, 511857, 17170, 11347, 345491, 22354, 15098, 16446",22355
tm98978,The Blue Lagoon,MOVIE,1980,104,"romance, action, drama",US,5.8,69844.0,50.324,6.156,"80677, 80678, 80679, 80680, 80681, 66492, 80682, 80683, 14989, 80684, 30068, 44313, 36764",28692
tm44204,The Guns of Navarone,MOVIE,1961,158,"action, drama, war","GB, US",7.5,50748.0,13.844,7.3,"29184, 29185, 13433, 13701, 27914, 613906, 16024, 21795, 4431, 11738, 16350, 16352, 16485, 16493, 16882, 29175, 29176, 29177, 29178, 29179, 29180, 29181, 29182",29187
tm67378,The Professionals,MOVIE,1966,117,"western, action, european",US,7.3,16446.0,13.123,7.1,"101889, 227842, 1461646, 57746, 36499, 23699, 539684, 58919, 127918, 12463, 62767, 62768, 62769, 62770, 534965, 16444, 24126, 2209736, 26187, 650832, 534354, 80218, 2209884, 16488, 35196",23705
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"comedy, documentation",US,8.1,5141.0,4.718,7.5,"25707, 191724",65063
tm16479,White Christmas,MOVIE,1954,115,"romance, comedy",US,7.5,42488.0,8.915,7.2,"25098, 27535, 1023889, 41874, 36504, 88997, 60326, 132394, 36157, 100934, 498631, 22477, 422099, 14166, 25056, 71905, 57838, 74992, 74993, 74994, 74995, 74996, 74997, 45687",14797
tm135083,Cairo Station,MOVIE,1958,77,"drama, crime, comedy",EG,7.5,4471.0,5.546,7.3,"555008, 1521409, 2342528, 1521412, 173189, 1521414, 173191, 1521416, 1521413, 225932, 538017, 1521441, 1321002, 1321149, 1521506, 557165, 557166, 557167, 557168, 530033, 557169, 557170, 557171, 557172, 557173, 557178, 1521534, 1521407",173191
tm89386,Hitler: A Career,MOVIE,1977,150,"history, documentation, european",DE,7.5,2460.0,4.305,7.3,218173,41187
tm156453,FTA,MOVIE,1972,97,"war, documentation, music, comedy",US,6.2,418.0,1.268,6.1,"1765, 37864, 15595, 32267, 473965, 208243, 488851, 70582, 529467, 529469",529468
tm14350,Alexandria… Why?,MOVIE,1979,133,drama,EG,7.2,1727.0,1.37,6.0,"537218, 173189, 1326853, 530826, 538123, 493971, 536986, 540702, 745887, 745888, 745889, 745890, 745891, 745892, 479007, 745894, 745886, 745900, 323651, 1113158, 740561, 223449, 558944, 530275, 216804, 452580",173191
tm81728,The Land,MOVIE,1969,129,drama,EG,8.1,1958.0,1.265,8.5,"498370, 452578, 216804, 537218, 676484, 451939, 1014405, 530826, 1635403, 1330957, 525264, 1332498, 1320859, 540702",173191
tm94651,Dostana,MOVIE,1980,161,"drama, comedy, crime, romance, action",IN,2.1,25.0,3.98,4.9,"509316, 105220, 105221, 299653, 105226, 105228, 57763, 434348, 6958, 568116, 511558, 63303, 511559, 511561, 199763, 104308, 68725, 104310, 509943",216331
tm27298,Saladin the Victorious,MOVIE,1963,186,"action, drama, war, history, romance",EG,7.6,2508.0,4.156,7.1,"215296, 558944, 381250, 498370, 471620, 576037, 1533795, 546021, 1533801, 530826, 225932, 2172269, 1533807, 500657, 152472, 520600, 899933, 553375",173191
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,146,"drama, romance, action, fantasy, family","SU, IN",6.2,565.0,2.582,6.8,"134657, 57763, 105220, 223525, 358575, 63665, 219025, 514364, 221086","434193, 514365"
tm19608,The Blazing Sun,MOVIE,1954,100,"crime, romance, drama",EG,7.4,1219.0,2.184,7.0,"219842, 988354, 173189, 225931, 562959, 15793, 493971, 520600, 540702",173191
tm204541,Dark Waters,MOVIE,1956,120,"action, drama, romance, thriller",EG,6.7,610.0,0.849,5.9,"498370, 225931, 225933, 15793, 152472, 560735",173191
tm259855,We Are All for the Fatherland,MOVIE,1979,74,documentation,"LB, CA, FR",6.1,47.0,0.6,5.2,,479396
tm356209,Singapore,MOVIE,1960,158,"drama, thriller, crime",IN,6.4,84.0,0.792,6.3,"173252, 222315, 132270, 150319, 550685",222342
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,43,comedy,,8.1,2151.0,1.487,7.0,"1549, 11472, 11474, 11475, 11476",16383
tm200475,"Beirut, Oh Beirut",MOVIE,1975,110,drama,LB,6.4,108.0,1.025,7.2,"216804, 592619, 339953, 943833, 943835",479396
tm90896,The Return of the Prodigal Son,MOVIE,1976,124,"music, drama, crime","DZ, EG",7.2,780.0,1.858,5.3,"534050, 323651, 676484, 1095845, 391527, 744936, 530826, 744938, 225934, 524174, 557940",173191
tm336403,Khoon Khoon,MOVIE,1973,131,"crime, thriller",IN,5.1,41.0,1.948,3.8,"460070, 20201, 222315, 69039, 867952, 524849, 66223, 497329, 618228, 727227",549933
tm107372,Manoranjan,MOVIE,1974,162,"romance, drama, comedy",IN,6.5,237.0,1.532,5.3,,1682144
tm358653,Ujala,MOVIE,1959,142,"romance, crime, drama",IN,6.6,78.0,0.84,6.0,"173252, 218950, 1945610, 434350, 64529, 64409, 64411, 216444, 515741",
tm259684,Whispers,MOVIE,1980,93,documentation,"CA, FR, LB",7.8,78.0,0.6,5.0,2434209,479396
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,135,romance,IN,4.6,14.0,0.62,6.0,,522301
tm16812,Bandie,MOVIE,1978,141,"drama, action, romance",IN,4.4,35.0,1.166,6.0,"518321, 132302, 522302",906104
